MasterFile,NumberKilled,CollisionDate,CollisionTime,ParkingLotIndicator,IntersectionWith_Indicator_,NumberInjured,ofUnits,ofMotorVehicleUnits,SpeedLimitNumber,LatitudeDecimalNumber,LongitudeDecimalNumber,MannerofCollisionCode,TotalLanes,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,RT_UNIQUE,LaneDepart
71779753,1,20160529,2034,0,0,0,1,1,55,38.933769,-84.394653,9,2,6,1,1,3,2,001-KY-0055  -,1
71784935,1,20160429,2038,0,0,0,1,1,55,37.709019,-85.244629,9,2,6,1,1,3,6,001-KY-0055  -,1
71786472,1,20160602,1938,0,0,2,3,3,55,37.364288,-83.234673,7,2,3,1,1,3,2,001-KY-0055  -,1
71786736,1,20160611,2229,0,0,1,3,3,70,37.947681,-84.384438,8,6,6,1,1,2,6,001-KY-0055  -,1
71788648,1,20160616,1809,0,1,0,2,2,45,38.157791,-85.7257,1,6,6,2,1,2,2,001-KY-0055  -,0
71792377,1,20160516,1526,0,0,1,1,1,70,38.020672,-85.696419,9,3,6,2,1,3,2,001-KY-0055  -,1
71793849,1,20160625,1559,0,0,0,1,1,55,37.912788,-87.547821,9,2,1,1,1,2,2,001-KY-0055  -,1
71798333,1,20160525,1027,0,0,1,2,2,55,37.712151,-87.075378,3,2,6,1,1,2,2,001-KY-0055  -,1
71798852,1,20160623,2005,0,0,2,2,2,55,37.536968,-82.601578,1,5,6,1,5,6,3,001-KY-0055  -,0
71799010,1,20160702,1429,0,0,0,1,1,65,39.057072,-84.634071,9,6,6,2,1,3,2,001-KY-0055  -,1
71801439,1,20160618,1320,0,0,2,1,1,55,37.726311,-84.37751,9,2,4,1,1,2,2,001-KY-0055  -,1
71803576,1,20160713,334,0,0,0,2,1,45,38.913841,-84.54435,9,5,6,1,1,2,6,001-KY-0055  -,0
71807919,1,20160716,1135,0,0,3,2,2,55,38.126259,-85.774017,3,2,6,1,1,2,2,001-KY-0055  -,0
71807971,1,20160717,325,0,0,0,2,1,35,38.246529,-85.764412,9,6,6,1,1,2,5,001-KY-0055  -,0
71811351,1,20160717,1859,0,0,0,1,1,55,37.728909,-82.762558,9,2,6,1,1,2,2,001-KY-0055  -,1
71823194,1,20160808,1805,0,0,3,3,3,45,38.258598,-85.761528,5,6,4,1,1,2,2,001-KY-0055  -,1
71823465,1,20160808,1335,0,0,1,2,2,55,37.59153,-85.869537,8,2,6,1,1,2,2,001-KY-0055  -,1
71828155,1,20160806,2102,0,0,1,2,2,70,37.248959,-87.449379,5,4,3,1,1,2,5,001-KY-0055  -,0
71830409,1,20160820,1300,0,0,3,2,2,45,38.321739,-85.615471,3,2,5,2,1,3,2,001-KY-0055  -,0
71831001,1,20160816,2306,0,0,0,2,2,70,37.6633,-84.309914,5,3,6,1,1,2,6,001-KY-0055  -,0
71832418,1,20160824,1330,0,0,0,1,1,55,37.8027,-87.657288,9,2,6,2,1,3,2,001-KY-0055  -,1
71834971,1,20160811,1416,0,0,0,2,2,25,38.143768,-85.774811,1,5,6,1,1,2,2,001-KY-0055  -,0
71844753,1,20160827,1347,0,0,1,3,3,55,37.698212,-83.124199,3,2,6,1,1,2,2,001-KY-0055  -,1
71844840,1,20160909,1436,0,0,0,2,2,45,37.800461,-87.03833,7,4,6,1,1,2,2,001-KY-0055  -,0
71845817,1,20160912,2341,0,0,0,2,1,45,39.009331,-84.624969,9,4,6,1,1,2,4,001-KY-0055  -,0
71849503,1,20160903,1406,0,0,3,3,3,35,37.618679,-82.268898,5,4,3,1,1,2,2,001-KY-0055  -,1
71856789,1,20160927,2039,0,0,1,1,1,55,37.320419,-83.528488,9,1,6,1,1,2,6,001-KY-0055  -,1
71857796,1,20160929,254,0,0,0,1,1,55,38.075298,-84.501556,9,2,6,1,5,2,5,001-KY-0055  -,1
71864770,1,20161002,2207,0,0,1,1,1,65,38.227619,-85.505058,9,4,6,1,5,3,5,001-KY-0055  -,1
71865770,1,20161002,1400,0,0,2,1,1,55,37.716541,-82.978798,9,3,4,1,1,2,2,001-KY-0055  -,1
71876110,1,20161015,1144,0,0,1,1,1,70,36.681671,-86.542519,9,6,4,1,1,2,2,001-KY-0055  -,1
71876564,1,20161021,1636,0,0,1,2,2,55,36.94347,-84.051582,3,2,6,1,1,3,2,001-KY-0055  -,0
71877272,1,20161024,1643,0,1,0,2,2,45,38.170921,-85.867271,4,2,4,1,1,2,2,001-KY-0055  -,0
71878680,1,20161009,1507,0,0,1,1,1,55,38.217731,-85.658508,9,8,6,2,1,2,2,001-KY-0055  -,1
71878681,1,20161017,1320,0,1,5,5,5,35,38.19532,-85.842499,1,4,6,1,1,2,2,001-KY-0055  -,1
71881791,1,20161026,1323,0,0,0,1,1,55,37.13517,-86.422836,9,2,1,1,1,2,2,001-KY-0055  -,1
71886557,1,20160910,1947,0,1,2,2,2,55,37.035831,-85.108047,1,2,6,1,5,2,6,001-KY-0055  -,0
71886982,1,20161022,521,0,1,1,4,2,45,38.12986,-85.737099,1,3,4,1,1,2,4,001-KY-0055  -,1
71888531,1,20161109,1620,0,0,0,2,2,55,38.190022,-85.758759,5,8,4,2,1,2,2,001-KY-0055  -,0
71894843,1,20161120,705,0,0,0,1,1,35,38.262428,-85.751907,9,4,6,1,1,2,1,001-KY-0055  -,1
